aa,Afar,Afaraf
oj,Anishinaabe,ᐊᓂᔑᓈᐯᒧᐎᓐ
om,Oromo,Afaan Oromoo
or,Oriya,ଓଡ଼ିଆ
os,Ossetic,Ossetian
pa,Punjabi,Panjabi
pi,Pali,Pāli
pl,Polish,polski
ps,Pashto,Pushto
pt,Portuguese,Português
qu,Quechua,Runa Simi
rm,Romansh,rumantsch grischun
rn,Kirundi,kiRundi
ro,Romanian,Moldavian
ru,Russian,Русский язык
rw,Kinyarwanda,Ikinyarwanda
sa,Sanskrit,संस्कृतम्
sc,Sardinian,sardu
sd,Sindhi,सिन्धी
se,Northern Sami,Davvisámegiella
sg,Sango,yângâ tî sängö
si,Sinhala,Sinhalese
sk,Slovak,slovenčina
sl,Slovene,slovenščina
sm,Samoan,gagana fa'a Samoa
sn,Shona,chiShona
so,Somali,Soomaaliga
sq,Albanian,Shqip
sr,Serbian,српски језик
ss,Swati,SiSwati
st,Sotho,Sesotho
su,Sundanese,Basa Sunda
sv,Swedish,svenska
sw,Swahili,Kiswahili
ta,Tamil,தமிழ்
te,Telugu,తెలుగు
tg,Tajik,тоҷикӣ
th,Thai,ไทย
ti,Tigrinya,ትግርኛ
tk,Turkmen,Türkmen
tl,Tagalog,Wikang Tagalog
tn,Tswana,Setswana
to,Tongan (Tonga Islands),faka Tonga
tr,Turkish,Türkçe
ts,Tsonga,Xitsonga
tt,Tatar,татарча
tw,Twi,Twi
ty,Tahitian,Reo Mā`ohi
ug,Uyghur,Uyghur
uk,Ukrainian,українська
ur,Urdu,اردو
uz,Uzbek,O'zbek
ve,Venda,Tshivenḓa
vi,Vietnamese,Tiếng Việt
vo,Volapük,Volapük
wa,Walloon,Walon
wo,Wolof,Wollof
xh,Xhosa,isiXhosa
yi,Yiddish,ייִדיש
yo,Yoruba,Yorùbá
za,Zhuang,Chuang
zh,Chinese,中文 (Zhōngwén)
zu,Zulu,isiZulu
